n02119789	kit fox, vulpes macrotis
n12561309	field pea, field pea plant, austrian winter pea, pisum sativum arvense, pisum arvense
n12569616	colorado river hemp, sesbania exaltata
n12575812	tufted vetch, bird vetch, calnada pea, vicia cracca
n12576451	bitter betch, vicia orobus
n12576695	bush vetch, vicia sepium
n12575322	vetch
n12577362	moth bean, vigna aconitifolia, phaseolus aconitifolius
n12577895	snailflower, snail flower, snail flower, snail bean, corkscrew flower, vigna caracalla, phaseolus caracalla
n12578255	mung, mung bean, green gram, golden gram, vigna radiata, phaseolus aureus
n12578626	cowpea, cowpea plant, black eyed pea, vigna unguiculata, vigna sinensis
n12579038	asparagus bean, yard long bean, vigna unguiculata sesquipedalis, vigna sesquipedalis
n11747468	legume, leguminous plant
n11752798	alpine clover, trifolium alpinum
n11752937	hop clover, shamrock, lesser yellow trefoil, trifolium dubium
n11753143	crimson clover, italian clover, trifolium incarnatum
n11753355	red clover, purple clover, trifolium pratense
n11753562	buffalo clover, trifolium reflexum, trifolium stoloniferum
n11753700	white clover, dutch clover, shamrock, trifolium repens
n11752578	clover, trefoil
n11772408	periwinkle, rose periwinkle, madagascar periwinkle, old maid, cape periwinkle, red periwinkle, cayenne jasmine, catharanthus roseus, vinca rosea
n11780148	cuckoopint, lords and ladies, jack in the pulpit, arum maculatum
n11780424	black calla, arum palaestinum
n11782266	giant taro, alocasia macrorrhiza
n11782036	alocasia, elephant's ear, elephant ear
n11782761	amorphophallus
n11782878	pungapung, telingo potato, elephant yam, amorphophallus paeonifolius, amorphophallus campanulatus
n11783162	devil's tongue, snake palm, umbrella arum, amorphophallus rivieri
n11784497	jack in the pulpit, indian turnip, wake robin, arisaema triphyllum, arisaema atrorubens
n11785276	friar's cowl, arisarum vulgare
n11785875	caladium bicolor
n11785668	caladium
n11786539	taro, taro plant, dalo, dasheen, colocasia esculenta
n11788039	dracontium
n11790089	nephthytis afzelii
n11789962	nephthytis
n11793403	yautia, tannia, spoonflower, malanga, xanthosoma sagittifolium, xanthosoma atrovirens
n11779300	arum, aroid
n11799732	ginseng, nin sin, panax ginseng, panax schinseng, panax pseudoginseng
n11802410	canada ginger, black snakeroot, asarum canadense
n11802586	heartleaf, heart leaf, asarum virginicum
n11802995	asarabacca, asarum europaeum
n11802800	heartleaf, heart leaf, asarum shuttleworthii
n11805255	caryophyllaceous plant
n11807525	snow in summer, love in a mist, cerastium tomentosum
n11807696	alpine mouse ear, arctic mouse ear, cerastium alpinum
n11807108	mouse ear chickweed, mouse eared chickweed, mouse ear, clammy chickweed, chickweed
n11810030	drypis
n11811059	coral necklace, illecebrum verticullatum
n11818069	common chickweed, stellaria media
n11817914	chickweed
n11822300	new zealand spinach, tetragonia tetragonioides, tetragonia expansa
n11823436	tumbleweed, amaranthus albus, amaranthus graecizans
n11823756	prince's feather, gentleman's cane, prince's plume, red amaranth, purple amaranth, amaranthus cruentus, amaranthus hybridus hypochondriacus, amaranthus hybridus erythrostachys
n11824146	pigweed, amaranthus hypochondriacus
n11823043	amaranth
n11824344	thorny amaranth, amaranthus spinosus
n11825351	cockscomb, common cockscomb, celosia cristata, celosia argentea cristata
n11825749	cottonweed
n11828577	lamb's quarters, pigweed, wild spinach, chenopodium album
n11828973	good king henry, allgood, fat hen, wild spinach, chenopodium bonus henricus
n11829205	jerusalem oak, feather geranium, mexican tea, chenopodium botrys, atriplex mexicana
n11829672	oak leaved goosefoot, oakleaf goosefoot, chenopodium glaucum
n11829922	sowbane, red goosefoot, chenopodium hybridum
n11830045	nettle leaved goosefoot, nettleleaf goosefoot, chenopodium murale
n11830252	red goosefoot, french spinach, chenopodium rubrum
n11830400	stinking goosefoot, chenopodium vulvaria
n11831100	garden orache, mountain spinach, atriplex hortensis
n11830714	orach, orache
n11833749	halogeton, halogeton glomeratus
n11834272	glasswort, samphire, salicornia europaea
n11855435	indian poke, phytolacca acinosa
n11855553	poke, pigeon berry, garget, scoke, phytolacca americana
n11855842	ombu, bella sombra, phytolacca dioica
n11855274	pokeweed
n11858077	common purslane, pussley, pussly, verdolagas, portulaca oleracea
n11858703	rock purslane
n11861238	broad leaved montia, montia cordifolia
n11861487	blinks, blinking chickweed, water chickweed, montia lamprosperma
n11861641	toad lily, montia chamissoi
n11861853	winter purslane, miner's lettuce, cuban spinach, montia perfoliata
n11866706	rocky mountain bee plant, stinking clover, cleome serrulata
n11866248	spiderflower, cleome
n11867311	clammyweed, polanisia graveolens, polanisia dodecandra
n11882636	american watercress, mountain watercress, cardamine rotundifolia
n11895472	marsh cress, yellow watercress, rorippa islandica
n11895714	great yellowcress, rorippa amphibia, nasturtium amphibium
n11869689	watercress
n11871496	arabidopsis thaliana, mouse ear cress
n11871748	arabidopsis lyrata
n11872324	sicklepod, arabis canadensis
n11872146	rock cress, rockcress
n11872658	tower mustard, tower cress, turritis glabra, arabis glabra
n11873612	winter cress, st. barbara's herb, scurvy grass
n11882074	lady's smock, cuckooflower, cuckoo flower, meadow cress, cardamine pratensis
n11882237	coral root bittercress, coralroot, coralwort, cardamine bulbifera, dentaria bulbifera
n11882426	crinkleroot, crinkle root, crinkle root, pepper root, toothwort, cardamine diphylla, dentaria diphylla
n11882821	spring cress, cardamine bulbosa
n11882972	purple cress, cardamine douglasii
n11883945	scurvy grass, common scurvy grass, cochlearia officinalis
n11869351	cress, cress plant
n11870418	garlic mustard, hedge garlic, sauce alone, jack by the hedge, alliaria officinalis
n11870747	alyssum, madwort
n11871059	rose of jericho, resurrection plant, anastatica hierochuntica
n11875523	wild cabbage, brassica oleracea
n11876204	savoy cabbage
n11875938	head cabbage, head cabbage plant, brassica oleracea capitata
n11875691	cabbage, cultivated cabbage, brassica oleracea
n11876432	brussels sprout, brassica oleracea gemmifera
n11876634	cauliflower, brassica oleracea botrytis
n11876803	broccoli, brassica oleracea italica
n11877193	collard
n11877283	kohlrabi, brassica oleracea gongylodes
n11877646	turnip, white turnip, brassica rapa
n11877860	rutabaga, turnip cabbage, swede, swedish turnip, rutabaga plant, brassica napus napobrassica
n11877473	turnip plant
n11878101	broccoli raab, broccoli rabe, brassica rapa ruvo
n11878633	chinese mustard, indian mustard, leaf mustard, gai choi, brassica juncea
n11879722	rape, colza, brassica napus
n11896722	field mustard, wild mustard, charlock, chadlock, brassica kaber, sinapis arvensis
n11878283	mustard
n11879054	bok choy, bok choi, pakchoi, pak choi, chinese white cabbage, brassica rapa chinensis
n11881189	shepherd's purse, shepherd's pouch, capsella bursa pastoris
n11894770	radish, raphanus sativus
n11895092	radish, daikon, japanese radish, raphanus sativus longipinnatus
n11894327	radish plant, radish
n11868814	crucifer, cruciferous plant
n11870044	stonecress, stone cress
n11874423	hoary alison, hoary alyssum, berteroa incana
n11884384	sea kale, sea cole, crambe maritima
n11884967	tansy mustard, descurainia pinnata
n11885856	draba
n11889205	tansy leaved rocket, hugueninia tanacetifolia, sisymbrium tanacetifolia
n11890150	dyer's woad, isatis tinctoria
n11890022	woad
n11890884	bladderpod
n11893640	bladderpod
n11893916	chamois cress, pritzelago alpina, lepidium alpina
n11897116	hedge mustard, sisymbrium officinale
n11899223	fringepod, lacepod
n11899762	bladderpod
n11899921	wasabi
n11902982	mexican poppy, argemone mexicana
n11902709	prickly poppy, argemone, white thistle, devil's fig
n11910271	bleeding heart, lyreflower, lyre flower, dicentra spectabilis
n11910460	dutchman's breeches, dicentra cucullaria
n11910666	squirrel corn, dicentra canadensis
n11916696	yarrow, milfoil, achillea millefolium
n11916467	achillea
n11917835	white snakeroot, white sanicle, ageratina altissima, eupatorium rugosum
n11920998	pellitory, pellitory of spain, anacyclus pyrethrum
n11921792	andryala
n11922661	plantain leaved pussytoes
n11922755	field pussytoes
n11922839	solitary pussytoes
n11922926	mountain everlasting
n11926833	arnica
n11927740	lamb succory, dwarf nipplewort, arnoseris minima
n11937692	ayapana, ayapana triplinervis, eupatorium aya pana
n11939180	balsamroot
n11943133	indian plantain
n11946051	safflower, false saffron, carthamus tinctorius
n11949402	chamomile, camomile, chamaemelum nobilis, anthemis nobilis
n11949857	chaenactis
n11953038	chicory, succory, chicory plant, cichorium intybus
n11953339	endive, witloof, cichorium endivia
n11957317	giant coreopsis, coreopsis gigantea
n11957514	sea dahlia, coreopsis maritima
n11957678	calliopsis, coreopsis tinctoria
n11956850	coreopsis, tickseed, tickweed, tick weed
n11961871	leopard's bane, leopardbane
n11962667	globe thistle
n11962994	elephant's foot
n11963572	tassel flower, emilia sagitta
n11968519	dog fennel, eupatorium capillifolium
n11968704	joe pye weed, spotted joe pye weed, eupatorium maculatum
n11968931	boneset, agueweed, thoroughwort, eupatorium perfoliatum
n11969166	joe pye weed, purple boneset, trumpet weed, marsh milkweed, eupatorium purpureum
n11973634	grindelia robusta
n11973749	curlycup gumweed, grindelia squarrosa
n11973341	gumweed, gum plant, tarweed, rosinweed
n11977660	orange sneezeweed, owlclaws, helenium hoopesii
n11977887	rosilla, helenium puberulum
n11977303	sneezeweed
n11982545	rattlesnake weed, hieracium venosum
n12004120	mouse ear hawkweed, pilosella officinarum, hieracium pilocella
n11982115	hawkweed
n11982939	alpine coltsfoot, homogyne alpina, tussilago alpina
n11984542	inula
n11985903	dwarf dandelion, krigia dandelion, krigia bulbosa
n11985739	krigia
n11986511	garden lettuce, common lettuce, lactuca sativa
n11986729	cos lettuce, romaine lettuce, lactuca sativa longifolia
n11987126	leaf lettuce, lactuca sativa crispa
n11987349	celtuce, stem lettuce, lactuca sativa asparagina
n11994150	tarweed
n11995092	sweet false chamomile, wild chamomile, german chamomile, matricaria recutita, matricaria chamomilla
n11995396	pineapple weed, rayless chamomile, matricaria matricarioides
n11997160	white lettuce, cankerweed, nabalus alba, prenanthes alba
n11997032	rattlesnake root
n12000191	butterweed
n12002428	butterbur, bog rhubarb, petasites hybridus, petasites vulgaris
n12002651	winter heliotrope, sweet coltsfoot, petasites fragrans
n12002826	sweet coltsfoot, petasites sagitattus
n12003696	hawkweed
n12004547	stevia
n12004987	rattlesnake root, prenanthes purpurea
n12005656	fleabane, feabane mullet, pulicaria dysenterica
n12006306	sheep plant, vegetable sheep, raoulia lutescens, raoulia australis
n12009792	creeping zinnia, sanvitalia procumbens
n12013035	black salsify, viper's grass, scorzonera, scorzonera hispanica
n12014923	sawwort, serratula tinctoria
n12015525	milk thistle, lady's thistle, our lady's mild thistle, holy thistle, blessed thistle, silybum marianum
n12019827	stevia
n12022382	pyrethrum, dalmatian pyrethrum, dalmatia pyrethrum, tanacetum cinerariifolium, chrysanthemum cinerariifolium
n12023108	feverfew, tanacetum parthenium, chrysanthemum parthenium
n12024445	common dandelion, taraxacum ruderalia, taraxacum officinale
n12024805	russian dandelion, kok saghyz, kok sagyz, taraxacum kok saghyz
n12024176	dandelion, blowball
n12027222	salsify, oyster plant, vegetable oyster, tragopogon porrifolius
n12028424	scentless camomile, scentless false camomile, scentless mayweed, scentless hayweed, corn mayweed, tripleurospermum inodorum, matricaria inodorum
n12029039	turfing daisy, tripleurospermum tchihatchewii, matricaria tchihatchewii
n12029635	coltsfoot, tussilago farfara
n12031927	ironweed, vernonia
n12037499	creeping bellflower, campanula rapunculoides
n12037691	canterbury bell, cup and saucer, campanula medium
n12038038	tall bellflower, campanula americana
n12038208	marsh bellflower, campanula aparinoides
n12038406	clustered bellflower, campanula glomerata
n12038585	peach bells, peach bell, willow bell, campanula persicifolia
n12038760	chimney plant, chimney bellflower, campanula pyramidalis
n12038898	rampion, rampion bellflower, campanula rapunculus
n12039317	tussock bellflower, spreading bellflower, campanula carpatica
n12036939	campanula, bellflower
n12091213	english primrose, primula vulgaris
n12091377	cowslip, paigle, primula veris
n12091550	oxlip, paigle, primula elatior
n12091697	chinese primrose, primula sinensis
n12091953	polyanthus, primula polyantha
n12090890	primrose, primula
n12092417	scarlet pimpernel, red pimpernel, poor man's weatherglass, anagallis arvensis
n12092629	bog pimpernel, anagallis tenella
n12092262	pimpernel
n12093885	sea milkwort, sea trifoly, black saltwort, glaux maritima
n12095281	gooseneck loosestrife, lysimachia clethroides duby
n12095412	yellow pimpernel, lysimachia nemorum
n12095543	fringed loosestrife, lysimachia ciliatum
n12095647	moneywort, creeping jenny, creeping charlie, lysimachia nummularia
n12095934	swamp candles, lysimachia terrestris
n12096089	whorled loosestrife, lysimachia quadrifolia
n12095020	loosestrife
n12098403	plumbago
n12103680	midgrass
n12103894	shortgrass, short grass
n12104104	sword grass
n12104238	tallgrass, tall grass
n12104734	goat grass, aegilops triuncalis
n12105353	crested wheatgrass, crested wheat grass, fairway crested wheat grass, agropyron cristatum
n12105828	bearded wheatgrass, agropyron subsecundum
n12105981	western wheatgrass, bluestem wheatgrass, agropyron smithii
n12106134	intermediate wheatgrass, agropyron intermedium, elymus hispidus
n12106323	slender wheatgrass, agropyron trachycaulum, agropyron pauciflorum, elymus trachycaulos
n12105125	wheatgrass, wheat grass
n12107002	velvet bent, velvet bent grass, brown bent, rhode island bent, dog bent, agrostis canina
n12107191	cloud grass, agrostis nebulosa
n12108613	broom sedge, andropogon virginicus
n12133462	broom beard grass, prairie grass, wire grass, andropogon scoparius, schizachyrium scoparium
n12108432	broom grass
n12108871	tall oat grass, tall meadow grass, evergreen grass, false oat, french rye, arrhenatherum elatius
n12111238	chess, cheat, bromus secalinus
n12111627	field brome, bromus arvensis
n12110778	brome, bromegrass
n12112337	black grama, bouteloua eriopoda
n12112008	grama, grama grass, gramma, gramma grass
